phot,bg,filenumber,frame,numberInGroup,x,y,z,locprec,locprecz
4491.432,76.33405,1,5673,1,495.278,204.6821,-35.72772,6.420744,21.39953
2270.081,70.82638,1,5695,1,419.803,304.9483,-127.8358,10.91912,39.34105
30202.02,432.717,1,5787,6,611.5369,256.174,-79.82687,2.39381,7.915683
4829.351,88.78539,1,5782,1,609.157,254.0741,-122.0537,6.506413,22.45698
5293.583,156.2511,1,5794,2,469.7941,216.3735,-100.0119,6.873838,24.73223
5126.04,85.04646,1,5793,1,486.9414,226.4607,-149.3161,6.349123,21.20655
4505.864,105.8066,1,5855,1,319.0427,304.9229,31.44551,7.178433,23.01449
11794.39,186.5562,1,5860,2,436.0305,216.8054,-177.5067,4.370634,14.12476
13759.46,515.4028,1,5929,5,248.0036,111.4174,-123.3634,4.775121,16.80588
2794.075,86.44744,1,5926,1,234.3287,90.79481,-48.35647,9.466384,33.39314
2226.328,75.36301,1,5960,1,479.9981,273.2006,-127.1028,11.28001,40.96909
9300.118,207.8752,1,5978,3,572.2275,277.8883,-63.29096,4.750175,16.28959
24659.93,428.0118,1,5999,5,367.4995,211.1138,-92.39452,2.886077,9.369357
2877.809,102.214,1,6032,1,539.506,251.5071,20.40936,9.989409,33.30147
20849.96,396.7544,1,6068,5,371.4699,249.5645,-113.2419,3.168961,10.66772
2448.165,76.37694,1,6095,1,608.7944,207.9281,-156.9294,10.84058,37.81713
2361.631,111.593,1,6148,1,655.2814,168.5113,31.01651,12.15608,40.69043
3777.708,88.77584,1,6163,1,211.5905,182.9936,-21.78924,7.608653,25.75479
5368.465,147.9948,1,6219,2,312.4594,222.7852,-177.481,7.262701,24.00367
2909.788,80.10726,1,6218,1,313.8868,173.0152,-148.1213,9.523485,33.16566
2573.599,67.98224,1,6234,1,321.2353,326.3557,-151.7616,10.05051,34.75539
8337.805,296.3924,1,6277,3,501.1104,264.1408,-100.3669,5.772534,20.98153
1987.114,70.18459,1,6276,1,478.0365,275.4168,-113.3685,11.93663,43.6536
38607.32,731.2755,1,6318,8,369.3678,196.3676,-130.4452,2.384107,7.834295
6277.524,91.07787,1,6314,1,364.8591,205.9659,-118.9814,5.417532,18.25924
7092.394,119.0463,1,6321,1,399.6118,208.9946,-168.9026,5.558266,18.03975
7004.964,118.8012,1,6324,1,399.3819,204.9436,-190.5298,5.811096,18.45178
3489.573,119.3801,1,6337,1,396.3942,247.6053,-208.8401,10.23234,33.91434
4292.092,97.57671,1,6363,1,311.1947,191.5956,-150.5793,7.497868,25.53568
3067.646,98.41071,1,6366,1,247.6524,338.6863,-81.79103,9.209994,33.25642
2635.712,62.69046,1,6386,1,306.8276,291.1043,-112.8089,9.301051,32.86086
4941.486,114.2958,1,6395,2,480.7585,216.2621,-96.15722,6.663589,23.53693
6469.002,133.9977,1,6451,2,427.4504,289.4076,-179.4623,6.340002,20.97484
2521.64,61.73263,1,6450,1,380.4133,274.4667,-117.0851,9.610142,34.06975
9707.35,207.4127,1,6461,3,362.2847,181.5463,-196.7472,5.255155,17.01727
3388.855,80.78983,1,6467,1,609.4894,105.4185,-139.7203,8.418344,29.34373
7581.626,237.8622,1,6477,3,600.5161,96.54794,-93.85023,5.797209,20.92911
2501.021,84.94838,1,6475,1,609.5616,111.749,-112.3614,10.49766,38.24421
1896.242,66.12271,1,6690,1,442.8777,319.4536,-132.0546,12.35068,44.96645
17186.04,212.2303,1,6701,3,320.5461,221.454,-144.0005,3.255077,10.49413
3792.497,135.4238,1,6756,2,584.6823,230.8918,-53.59568,8.491142,30.53712
2956.752,69.37031,1,6765,1,418.5048,292.523,-103.0435,8.707667,30.71097
6697.918,206.8304,1,6778,2,299.1141,390.3834,-48.25459,6.124235,21.71927
6394.852,168.9832,1,6781,2,398.1356,158.6879,-40.18184,6.213269,20.83966
2963.373,87.12231,1,6799,1,412.948,176.8199,-157.3172,9.693692,33.58657
7594.4,206.3949,1,6823,3,366.3722,431.1055,-114.5847,5.670684,20.21858
